,speechiness,tempo
4PkYiPWfPjavw3aTEPWBXS,0.104,140.053
4W4wYHtsrgDiivRASVOINL,0.0545,133.608
1EmcH7MzImxZWKRbSHmf5y,0.041,101.823
7933jrO54F6kRyJcdLR6JQ,0.0732,183.242
6b4mWoXrscyajbLOB2qwfG,0.0411,96.591
0cqezqAud2vEVUaygg209i,0.0561,120.054
1TfLHJ4SyVAJhrhjdQCtkV,0.036,115.131
3KPwt1LBpt1jVSHz8GXERo,0.0301,85.126
0M7mWKqwTIaVjYyxfZmtTa,0.0425,111.762
79bCYp9aWLSsgiBCKzkqxw,0.0284,143.68
17LEVrxCYMkGNVYWJtrIqb,0.051,87.711
6ll39ALTlddWWQZLjSFlwM,0.0394,115.05
47mjwLEG8w4ml03hGUKABi,0.0513,110.08
3lX7OJkorFgSw4Owy9EqZf,0.0454,98.967
6b2oQwSGFkzsMtQruIWm2p,0.0369,91.841
07ncdJ0EdM2gXZkepFzuc1,0.0281,124.696
16fcW6aLnHwl7U9fUXG2f8,0.339,143.123
4XgG7sibaeB42cwKLhNFj6,0.209,183.785
1Mkt1BqBK9D02g1iMmRkqq,0.168,110.83
23saeKwaMtwIZWgkX9HfxX,0.0488,80.387
6kig1UFggPUyZBCvXD3Wod,0.165,123.975
5M3csjImDf6rbOKYqjd9cX,0.0289,127.908
1xldy35AI5PoXBld89MWYc,0.0315,104.929
3GWu5SKNfEnXANuMRhC5zc,0.0506,151.882
6T7LTPOm4ZXezSs3bSGiGT,0.0516,109.67
2fx1hkMHTVdDim274rwoPa,0.0285,92.31
69R4dcujpMJX5SUARXKOHi,0.0518,160.96
4tJlOZSSg7xT8UMqAwiZtK,0.087,99.911
5iwgEFKEktjBBZV3C9TTZj,0.0379,93.96
6nEx6Or7mScLf7BaZ5WfV9,0.18,169.203
1YVwFSVhYBPQMdmTD8sXrI,0.0649,144.978
5kBmoWvzfQgpd1pVGwFwab,0.242,112.938
2rg3yLJKN5Yl4JCHHkMgeC,0.0466,111.97
346GCw2msr77HA5I5NFsKS,0.0363,117.817
1qm9MfTAoEixNPSqshHqfV,0.163,128.032
5G0Azy4qe3UAWyvzc2JwkH,0.0423,71.141
6nUShEZIrkc4PL24p4RQQZ,0.0357,127.024
2wMBKl2M7X20iHrbDcDp4D,0.0424,145.885
27MB0qHaYAZiTlwg25js1Y,0.395,159.65
66hOCG7IpEJI5wfLDhajxD,0.0401,128.994
5ZT1oRyGphljlYQOyE7ELt,0.116,110.278
6rkMqY4WQFJhl51UmGo7rJ,0.193,139.983
6cuRAp4CDhkjbgyLfiqgGi,0.356,129.962
4F1GNyFyinJH9W50pJO0RR,0.0498,130.016
4NnZLxypfFvJyOzYavgZRk,0.503,114.575
0cJLYpRTqODzv9SiQukE4Z,0.0699,128.015
4CTm0sCrg4MshVH7wynTfS,0.0361,94.35
0CyRloqqjpeKEAd3cO6J6z,0.0278,114.995
4STHXpVUUMg4OEXrGLsiUr,0.0298,138.025
3Auc8fi6ahlEwss8SR0IWJ,0.0375,76.392
1V2VKI1jmkpdwkLeBgwQhN,0.0345,92.994
4Smj3ZGxhpgghm8o2xGqq9,0.0446,130.009
6DoXuH326aAYEN8CnlLmhP,0.0945,125.459
2nzI2futOM8isgXNKAlQ1m,0.028,125.005
0YgXSDMUJlen2AQ6fnYLLr,0.0479,139.914
1soxUgYIZb1qx1c7o1Lc7z,0.032,205.972
7r5Q8PAJtlwYRoPtlZcOBv,0.0541,109.544
7smCjIc7MoUM4ay55LQrdu,0.124,160.792
2gGIhNmn8NaUr3LNofUIBZ,0.0355,173.652
4lRUr1HeCWtCwyHCIfIqTt,0.0368,157.063
2dLLR6qlu5UJ5gk0dKz0h3,0.122,84.878
1y2a5jnkYSCEYtJ193vF4c,0.0488,110.007
1J3w85cS3FEmoSKRu2dQJ8,0.0511,78.372
4uDnx2eQm8V9Fnj0L0k8bb,0.0444,123.39
1AJ5F0FMTC3yFU3ocjy1gE,0.0253,105.826
1M5a4uGEeeptMgQB639oja,0.0285,117.615
3k2Zv2luPZHpxfFjGpr4Mm,0.0527,83.012
3x80T4dEFK7tDFzpxA6Dml,0.0419,162.007
3Oy2owNanv06JelgYH5jv6,0.348,78.059
5HfkyDiR62nQtbkcPtEwHa,0.0298,112.968
0bBbCsh7KYOQ2Y1HmqXd4x,0.0337,116.172
6YoYLN155MLavQcl3bHmvY,0.0535,114.992
13NCxLOlvQ4Tnexgfp03Gs,0.0582,180.127
6rCyXpDwlMf1GH2qlpjJWv,0.0478,150.936
2j6rzn9BCjGE7bC6nfXMdT,0.179,92.068
4bJbSERtCqK9D6DRUPMmMh,0.0356,81.923
41nq8yFxnUz4Pyhs61asM0,0.0488,140.054
4AMjFxQzXZEkX2YTOndWeV,0.0278,77.504
0ZufzBAe2nz5gQp0eKTUYm,0.0299,99.144
0HappsAtiF5VJXo7v3jKRb,0.109,136.029
02LAK7qT1wya0klSeNO96f,0.102,133.776
2eMh8ISgK9dylE51SJUixA,0.0374,170.05
2RLxaX5gVSekX9hjnu81DT,0.031,119.983
4aG41nJ7tfC1Z4yuVyhjRr,0.0899,81.944
3Jw4lBWbcznhlitliEMW0x,0.0286,106.511
3r6nCfvZCE5dPcBVVqEejK,0.0324,118.084
73Agm3dKZ48UHUuXkOM13y,0.878,69.425
7G4rtRR1pWzkcGv0K209o4,0.334,182.034
1LPGwuFgIzbJoShfDdw7MY,0.0298,96.017
2wMOhL28M1ivV1Kwtmcz03,0.0352,129.944
02iZJRlOZ7VRbzO8uVdOva,0.029,100.142
7DP6vwrVkbz3rUPtfMnT13,0.0249,92.384
4mGJcOKQhmISIWgQ3xCiLB,0.0486,122.014
2hcO4itSiCuWdsNWdVBKD9,0.157,130.064
